name,hit,heavy_atoms,mw,length_A
"Alpha-Aminoisobutyric Acid",0,7,103.1,3.686495953518223
"alpha-Arbutin",0,19,272.3,10.030790352842546
"Alpha-L-Rhamnose",0,11,164.2,5.362599028271983
"Alprenolol hydrochloride",0,18,249.4,10.570640133510503
"Alprostadil",0,25,354.5,15.258430171594105
"Altrenogest",0,23,310.4,10.859738741525229
"Altretamine",0,15,210.3,7.041389673139642
"Alverine",0,21,281.4,10.477208058570836
"Alverine Citrate",0,21,281.4,10.477208058570836
"Alvimopan",0,31,424.5,11.683926252588051
"Alvimopan dihydrate",0,31,424.5,11.683926252588051
"Amantadine",0,11,151.3,4.290414962147144
"Amantadine HCl",0,11,151.3,4.290414962147144
"Ambrisentan",0,28,378.4,9.723255121979232
"Ambroxol",0,18,378.1,10.792096356118831
"Ambroxol HCl",0,18,378.1,10.792096356118831
"Amcinonide",0,36,502.6,14.384488896084896
"amdinocillin",0,22,325.4,11.643793226276657
"Amenamevir",0,34,482.6,15.324345480416778
"Amezinium (methylsulfate)",0,15,202.2,8.448960802085162
"Amfebutamone (Bupropion) HCl",0,16,239.7,8.640823842099522
"Amfenac Sodium Monohydrate",0,19,255.3,10.29725985162786
"Amifostine",0,12,214.2,6.665459155973901
"Amikacin disulfate",0,40,585.6,15.822747470689226
"Amikacin hydrate",0,40,585.6,15.822747470689226
