#Frame            sb1          sb2
     855       4.6966       2.7119
     856       4.6502       2.6683
     857       4.7139       2.7127
     858       4.2915       2.7215
     859       4.6692       2.7151
     860       4.0605       2.5736
     861       4.5862       2.7941
     862       4.8226       2.8858
     863       4.2994       2.6392
     864       4.3143       2.8603
     865       4.4554       2.7372
     866       4.6021       2.7642
     867       4.7701       2.7215
     868       4.0106       2.8121
     869       4.3321       2.7425
     870       4.3684       2.6181
     871       4.4369       2.7767
     872       4.7192       2.6169
     873       4.4830       2.6069
     874       3.9673       2.6542
     875       4.6248       2.7654
     876       4.5458       3.0087
     877       5.0386       2.9166
     878       4.7281       2.8306
     879       4.2655       2.6070
     880       4.2924       2.8444
     881       4.2246       2.6704
     882       4.2591       2.6719
     883       4.5830       2.8609
     884       4.0463       2.6674
     885       3.8714       2.5727
     886       5.9216       4.7889
     887       5.1203       4.5796
     888       5.4698       4.7164
     889       5.2021       4.5464
     890       5.1407       4.4059
     891       4.5361       3.6009
     892       4.7654       4.3480
     893       4.8812       4.1144
     894       4.9508       4.0646
     895       4.9637       4.1952
     896       4.7427       4.4223
     897       5.1603       4.3415
     898       5.0143       4.2800
     899       4.8386       4.4040
     900       5.7142       4.7829
     901       5.1434       4.0771
     902       5.3371       4.2575
     903       5.2967       4.3622
     904       5.1678       4.5896
     905       5.1560       4.9385
     906       5.1048       4.3702
     907       5.0558       4.2839
     908       5.0974       4.2902
     909       4.9180       4.5320
     910       6.0971       5.7673
     911       4.9999       4.2728
     912       5.3002       4.5685
     913       5.8765       5.7703
     914       5.6905       5.0825
     915       5.3955       4.6392
     916       5.4183       4.9604
     917       4.9805       4.4709
     918       5.9464       5.4250
     919       5.3298       4.5769
     920       5.1595       4.5377
     921       4.9289       4.4660
     922       5.3923       5.2140
     923       5.5870       5.0216
     924       5.6118       5.1574
     925       5.1270       4.6925
     926       5.1901       4.7334
     927       5.5787       5.6600
     928       6.0810       5.7503
     929       5.3100       4.7655
     930       5.3424       4.7723
     931       5.8273       5.3994
     932       4.8653       4.2612
     933       5.6761       5.1783
     934       4.9239       4.2260
     935       5.1504       4.9902
     936       5.1189       4.2809
     937       5.6379       4.8245
     938       4.7774       3.9325
     939       5.3102       4.1959
     940       5.1548       4.3179
     941       5.0810       4.4943
     942       5.1913       4.2185
     943       5.1716       4.2811
     944       4.3659       3.6857
     945       5.3298       4.5151
     946       5.1526       4.3729
     947       4.9623       5.0233
     948       4.6828       3.9922
     949       4.7147       4.3905
     950       5.1066       4.2909
     951       5.1390       4.5275
     952       5.2671       5.2297
     953       5.3130       4.4812
     954       4.9728       4.3551
     955       4.9558       4.8743
     956       5.2946       4.8213
     957       5.1270       4.9575
     958       5.6029       4.8816
     959       4.8736       4.0706
     960       4.9595       4.1550
     961       5.1284       4.7732
     962       5.2293       4.8337
     963       5.5176       4.6515
     964       5.5129       5.1134
     965       5.0318       4.6441
     966       5.2837       4.9555
     967       5.2001       4.3284
     968       4.8701       3.9590
     969       5.2642       4.9580
     970       4.7451       4.0974
     971       5.0612       4.3102
     972       5.1439       4.5620
     973       5.1802       4.5695
     974       4.8417       4.6105
     975       4.9682       4.1755
     976       5.0209       4.3976
     977       4.8824       4.5313
     978       4.9631       4.3060
     979       5.4745       4.8037
     980       5.3122       4.7106
     981       5.4787       4.7725
     982       5.6359       5.0438
     983       5.2361       4.7939
     984       4.8971       4.2293
     985       4.9974       4.7615
     986       5.3592       4.9300
     987       5.0802       4.1317
     988       5.2682       4.7492
     989       4.8544       4.1072
     990       5.0129       4.4636
     991       5.0873       4.0244
     992       4.7976       4.4247
     993       4.8273       4.0411
     994       4.9487       4.3719
     995       5.3439       4.7469
     996       4.6623       4.0321
     997       5.0035       4.6077
     998       5.2156       4.5930
     999       5.3207       4.4189
    1000       5.3267       4.7892
